CountyName,PrecinctCode,PrecinctName,PrecinctSplitCode,Description,HouseNum,PrefixDirection,Street,StreetType,SuffixDirection,City,State,PostalCode,Line2,Comment,DayPhone,HandicapAccessible
ALLEGHENY,1110001,BLAWNOX 00 01,1110001-1,BLAWNOX MANOR APARTMENTS - REC ROOM,701,,CENTER,AVE,,PITTSBURGH,PA,15238,,,,YES
ALLEGHENY,1120100,BRACKENRIDGE 01 00,1120100-1,PIONEER HOSE COMPANY,124,,MORGAN,ST,,BRACKENRIDGE,PA,15014,,,,YES
ALLEGHENY,1120200,BRACKENRIDGE 02 00,1120200-1,PIONEER HOSE COMPANY,124,,MORGAN,ST,,BRACKENRIDGE,PA,15014,,,,YES
ALLEGHENY,1120300,BRACKENRIDGE 03 00,1120300-1,PIONEER HOSE COMPANY,124,,MORGAN,ST,,BRACKENRIDGE,PA,15014,,,,YES
ALLEGHENY,1130100,BRADDOCK 01 00,1130100-1,LUNDINE APARTMENTS LOBBY,125,,COREY,AVE,,BRADDOCK,PA,15104,,,,YES
ALLEGHENY,1130200,BRADDOCK 02 00,1130200-1,BRADDOCK BORO BLDG. COUNCIL CHAMBERS,415,,SIXTH,ST,,BRADDOCK,PA,15104,,,,YES
ALLEGHENY,1130300,BRADDOCK 03 00,1130300-1,NEW HOPE BAPTIST CHURCH,445,,SIXTH,ST,,BRADDOCK,PA,15104,,,,YES
ALLEGHENY,1140001,BRADDOCK HL 00 01,1140001-1,BRADDOCK HILLS BORO BUILDING - FMR ELEM SCHOOL,1300,,BRINTON,RD,,PITTSBURGH,PA,15221,,,,YES
ALLEGHENY,1140002,BRADDOCK HL 00 02,1140002-1,BRADDOCK HILLS SENIOR CENTER,2794,,COLUMBIA,AVE,,PITTSBURGH,PA,15221,,,,YES
ALLEGHENY,1150001,BRADFORDWOOD 00 01,1150001-1,BRADFORD WOODS COMMUNITY CHURCH,4836,,WEXFORD RUN,RD,,BRADFORD WOODS,PA,15015,,,,YES
ALLEGHENY,1160001,BRENTWOOD 00 01,1160001-1,MOORE ELEMENTARY SCHOOL GYM,3809,,DALEWOOD,ST,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160002,BRENTWOOD 00 02,1160002-1,CONCORDIA LUTHERAN ED BLDG LOWER LEVEL,3109,,BROWNSVILLE,RD,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160003,BRENTWOOD 00 03,1160003-1,ELROY ELEMENTARY CAFE RM 108,3129,,ELROY,AVE,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160004,BRENTWOOD 00 04,1160004-1,RESIDENT'S GARAGE,3209,,WILLETT,RD,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160005,BRENTWOOD 00 05,1160005-1,ELROY ELEMENTARY CAFE RM 109,3129,,ELROY,AVE,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160006,BRENTWOOD 00 06,1160006-1,ST SYLVESTER - CHURCH,3754,,BROWNSVILLE,RD,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160007,BRENTWOOD 00 07,1160007-1,ST SYLVESTER - CHURCH,3754,,BROWNSVILLE,RD,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160008,BRENTWOOD 00 08,1160008-1,ST PETER'S EPISCOPAL KINDER RM,4048,,BROWNSVILLE,RD,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1160009,BRENTWOOD 00 09,1160009-1,MOORE ELEMENTARY SCHOOL GYM,3809,,DALEWOOD,ST,,PITTSBURGH,PA,15227,,,,YES
