_id,x,y,fid,perimeter,publicbl_i,facility,facility_c,address,city,zipcode,class,municode
8340,-79.980266036,40.438764399,156,0,14,General Services Repair Shop,B002,1807 Fifth Ave,Pittsburgh,15219,City of Pittsburgh,100
8341,-80.00148404,40.439869351,157,0,10,ACHD-WIC-Investment Building,ACHD-WIC,239 Fourth Ave,Pittsburgh,15222,Allegheny County,
8342,-79.9187033219999,40.4629181660001,158,0,23,Liberty Park Maintenance Building,B266,100 Larimer Ave,Pittsburgh,15206,City of Pittsburgh,100
8343,-79.9859497419999,40.4310719860001,159,0,44,Southside Market House,B047,12th St,Pittsburgh,15203,City of Pittsburgh,100
8344,-79.920542183,40.44982308,160,0,28,Mellon Park Service Building,B087,1047 Shady Ave,Pittsburgh,15232,City of Pittsburgh,100
8345,-79.838943122,40.4809934410001,161,0,7,Frick Park Bowling Greens Building,B103,Reynolds St,Pittsburgh,15217,City of Pittsburgh,100
8346,-79.997059282,40.4362319680001,162,0,30,Municipal Courts Building,B371,660 First Ave,Pittsburgh,15219,City of Pittsburgh,100
8347,-79.838943122,40.4809934410001,163,0,8,Frick Park Bowling Greens Garage,B104,Reynolds St,Pittsburgh,15217,City of Pittsburgh,100
8348,-80.004185179,40.4079917190001,164,0,33,Saw Mill Run Building,B220,1000 Saw Mill Run Blvd,Pittsburgh,15220,City of Pittsburgh,100
8349,-80.00731304,40.471453463,165,0,6,Fowler Field Utility Building,B338,Charles St,Pittsburgh,15214,City of Pittsburgh,100
8350,-80.01144862,40.451347658,166,0,47,Town North Maintenance Building Office,B188,601 Ridge Ave,Pittsburgh,15212,City of Pittsburgh,100
8351,-79.8893247189999,40.4452329040001,167,0,49,West Park Maintenance Building,B277,West Park,Pittsburgh,15212,City of Pittsburgh,100
8352,-79.975487167,40.459446058,168,0,14,Pittsburgh Emergency Operations Center,,2925 Railroad St,Pittsburgh,15201,City of Pittsburgh,100
8353,-79.897401428,40.2721323970001,169,0,115,West Elizabeth Borough Building,,800 Fourth St,West Elizabeth,15088,,862
8354,-79.955319217,40.4440533210001,170,0,10,Department of Veterans' Services,,4141 Fifth Ave,Pittsburgh,15213,,100
8355,-79.921720013,40.398325648,171,0,116,West Homestead Borough Building,,456 W Eighth Ave,Homestead,15120,,863
8356,-80.004836091,40.441371981,172,0,12,PA State Office Building,,300 Liberty Ave,Pittsburgh,15222,State,100
8357,-80.032389005,40.5197673870001,173,0,117,West View Borough Building,,441 Perry Hwy,Pittsburgh,15229,,864
8358,-79.9437544259999,40.4980042500001,174,0,80,Etna Borough Building,,437 Butler St,Pittsburgh,15223,,827
8359,-80.021149398,40.4571197280001,175,0,24,Manchester Storage Building,B275,Franklin St,Pittsburgh,15233,City of Pittsburgh,100
8360,-79.9048237659999,40.49054319,176,0,24,Aspinwall Borough Building,,217 Commerical Ave,Aspinwall,15215,,801
8361,-79.907452371,40.370278467,177,0,25,Mcbride Service Building,B059,Mcbride St,Pittsburgh,15207,City of Pittsburgh,100
8362,-80.067428461,40.501235385,178,0,25,Avalon Borough Building,,640 California Ave,Pittsburgh,15202,,802
8363,-79.97687453,40.4239606400001,179,0,31,Parks Southern Division Storage Building,B246,Mission St,Pittsburgh,15203,City of Pittsburgh,100
8364,-79.9615276389999,40.385739576,180,0,5,Baldwin Borough Building,,3344 Churchview Ave,Pittsburgh,15227,,877
8365,-79.871280956,40.4550708990001,181,0,5,East Hills Maintenance Building,B264,Wilner Dr,Pittsburgh,15221,City of Pittsburgh,100
8366,-79.915170783,40.483421766,182,0,21,Highland Park Storage Building,B204,Reservoir Dr,Pittsburgh,15206,City of Pittsburgh,100
8367,-80.01847255,40.3797797710001,183,0,13,Baldwin Township Building,,10 Community Park Dr,Pittsburgh,15234,,902
8368,-80.020607352,40.484569713,184,0,32,Riverview Nature Center,B040,Riverview Dr,Pittsburgh,15214,City of Pittsburgh,100
8369,-80.1728955419999,40.5850923630001,185,0,11,Bell Acres Borough Building,,1151 Camp Meeting Rd,Sewickley,15143,,883
8370,-79.942533861,40.440094683,186,0,35,Schenley Golf Course Clubhouse,B068,Schenley Dr,Pittsburgh,15217,City of Pittsburgh,100
8371,-80.0558219769999,40.4969170460001,187,0,26,Bellevue Borough Building,,537 Bayne Ave,Pittsburgh,15202,,803
8372,-79.937386013,40.436651994,188,0,36,Schenley Golf Course Service Building,B067,East Circuit Dr,Pittsburgh,15217,City of Pittsburgh,100
